광물이름,보고서 내용,날짜
철광석,"중국 계절적 수요증가에 따른 철광석 가격 소폭 회복 중국의 ‘15년 조강생산량이 8억383만톤으로 전년대비 2.3% 감소하며 25년만에 처음으로 생산량이 줄어듦에 따라 철광석 항구재고량도 급격하게 증가하고 있으나, 중국의 춘절연휴 이전 철강산업 부문의 원재료 매입확보를 위한 수요증대 예상으로 철광석 가격의 상승세가 나타남. 그러나 계절적 성수기 이후에는 ANZ Bank는 중국의 철광석 항구재고량이 내달 1억톤을 초과할 것으로 보고 있으며, Citigroup은 상기 하방리스크로 급격한 철광석 가격하락세를 전망함",201601
"동,니켈,아연","EU의 추가 양적완화 기대에 따른 가격 소폭 상승 최근 비철금속 가격이 글로벌 경제지표 부진에 따라 전반적으로 약세인 상황이나, EU에서 양적완화 정책을 추가로 추진할 전망이고 중국은 올해부터 국외은행에도 위안화 지준율을 부과하면서 달러화 강세에 따른 위안화 절하우려가 완화됨에 따라 비철금속의 부분적 가격상승세가 나타남",201601
유연탄,"중국과 북미지역 대규모 감산 기대에 따른 가격상승세 중국은 향후 3년간 소규모, 고비용 광산 폐광을 통해 7억톤 감산목표를 세웠고, 미국과 캐나다의 경우 에너지원 정책이 석탄 대신 천연가스 비중을 확대시킬 것으로 전망됨에 따라 감산조정 기대로 가격상승세가 나타남. 그러나 인도의 ‘15년 4~12월 연료탄 수입량이 6,180만톤으로 전년동기대비 9.5% 감소하고, 중국 또한 ’15년 석탄수입량이 전년대비 31.6%나 감소한 1억 5,553만톤을 기록하면서 가격하락요인도 상존하고 있어 상승세가 제한될 전망임",201602
우라늄,"장기수요 개선전망에도 불구하고 가격 보합세 지속 일본 Fukui현의 Takahama 원전 3호기가 1월29일 재가동에 들어가면서 세 번째 원전재가동이 개시됨. 또한 프랑스 EDF사와 인도 Nuclear Power Corp of India사가 인도 Jaitapur주에 6기의 신규원전 건설 예비계약 체결소식이 전해지고 있고, 인도의 Kudankulam 원전2호기가 가동개시될 예정이어서 장기수요 전망은 긍정적임. 그러나 단기적인 측면에서는 일본과 중국 등의 우라늄 재고량이 신규 소요분을 충당할 것으로 보여 가격상승세가 상쇄되고 있음",201602
철광석,"중국 철강생산 부진에 따른 철광석 가격 약보합세 중국 철강생산량이 25년만에 처음으로 감소하였고, 그에 따라 철광석 항구재고량이 급증하는 등 하방리스크가 여전히 큰 가운데 브라질의 철광석 주요 수출항구가 일시적으로 가동 중단되면서 가격상승을 기대하였으나, 조속한 문제해결로 가격에 크게 영향을 미치지 못하면서 약보합세가 나타남",201602
"동,니켈,아연","EU의 추가 양적완화 기대에 따른 가격 소폭 상승 지난해 메이저 Glencore의 동 40만톤, 아연 50만톤 감산결정 및 중국내 대형제련소간 생산축소 합의에 따른 수급조정 기대로 가격의 소폭 상승세가 나타남. 특히 동의 경우 Freeport-McMoRan사의 인니 Grasberg광산에서 동 정광 수출면허가 제련소 건설비용 보증금 미납문제로 중지됨에 따라 추가적인 가격상승세가 나타날 것으로 보임",201602
유연탄,"달러화 약세와 인도의 석탄발전 용량증대에 따른 가격상승세 중국과 북미지역은 석탄에서 천연가스로의 에너지원 구조전환 정책을 추진함에 따라 점진적인 감산조정이 추진되는 가운데 최근 미국의 경제지표 부진에 따른 달러화 약세가 전반적으로 광물자원의 가격을 상승시킴. 또한 인도는 4기의 석탄 발전소가 신규 가동개시하면서 총 석탄 발전용량이 173GW로 증가하였고, 총 에너지원 비중은 60.9%를 차지하면서 가격상승에 기여한 것으로 파악. 기록적인 저유가 상황(2월 첫째주 WTI현물가격 27.9달러/톤)에서도 상기 달러가치 하락과 인도의 석탄소비 증가전망으로 상승세가 이어질 전망임",201602
우라늄,"장기수요 개선전망에도 불구하고 가격 보합세 지속 일본의 Takahama 원전 3호기가 1월말 재가동하였고, 4호기는 2월말경에 재가동에 돌입할 예정이어서 우라늄 장기수요가 늘어날 전망임. 일본의 원전 재가동 정책으로 천연가스의 수입량은 오히려 줄어들고 있으며, ‘15년에 8천5백만톤으로 전년대비 3.9% 하락함. 이와 같은 추세는 원전비중 확대에 힘입어 지속될 전망임. 그러나 단기적인 측면에서는 우라늄 수요부족으로 인해 공급자의 매도가격 인하에 따라 가격보합세가 이어지고 있음",201602
철광석,"세계최대 철광석 수출항 폐쇄로 가격상승세 세계최대 철광석 수출항인 호주의 Hedland항이 사이클론 여파로 잠정 폐쇄되면서 2월 첫째주 철광석 가격이 전주대비 7% 상승함. 단, 중국정부의 철강산업 생산용량 감축계획에 따르면, ‘16년 1~1.5억톤의 생산용량을 감소시킴에 따라 철광석 0.9~1.5억톤의 수요감소가 발생할 것으로 Goldman Sachs가 전망하면서 상기 가격 상승요인은 상쇄될 전망임",201602
"동,니켈,아연","달러화 약세에 따른 가격상승세(단, 니켈가격은 하락) 1월 미국의 PMI가 악화되는 등 경제지표 부진에 따른 달러화약세와 EU, 일본의 마이너스 금리정책이 원자재 투자수요를 증가시키면서 동과 아연가격은 각각 지난주 대비 2.3%, 6.9% 상승함. 또한 글로벌 금융시장의 불확실성 증대에 따른 미연준의 추가 금리인상이 어려울 것으로 전망되면서 달러가치 하락에 따른 가격 상방압력이 커질 전망임",201602
유연탄,"중국 석탄소비 감소세 전망에 따른 가격하락세 2월 둘째주 BP의 에너지전망에 따르면, 2000~2014년까지 연평균 8%이상 증가했던 중국의 석탄소비가 `30까지 0.2%로 성장률 둔화세가 나타나고, `35년까지 감소세로 전환할 것으로 전망하면서 가격하락 우려가 확산되면서 연료탄 가격이 전주대비 2.1% 하락함",201602
우라늄,"장기수요 개선전망에도 불구하고 가격 보합세 지속 러시아 국영 Rosatom사는 `15년도 총 1,100억달러의 원전 수출계약 실적과 향후 5년간 추가로 1,900억달러의 수출액 달성목표를 발표함. 동사는 `16년 1월에 핀란드 Hanhikivi 원전1기와 인도 Kudankulam 원전6기를 건설 중에 있고, 동남아시아에서도 총 12기의 원전 건설계약을 체결한 바 있음. 이와같은 장기수요 개선에도 불구하고 우라늄 가격은 30달러 중반대에서 보합세를 지속중임",201602
철광석,"광산투자 감소전망에 따른 철광석 가격의 소폭 상승세 지난해 광산업계 시가총액이 73%인 1조4천억달러나 감소한 가운데 철광석 메이저 Rio Tinto 또한 지난해 8억 6,600만달러의 적자를 내면서 올해 투자비를 당초 계획보다 30억달러 감소한 40억 달러로 책정하는 등 철광석을 포함한 광물시황의 위축세가 나타나고 있음. 이와같은 메이저의 광산투자 감소 전망에 따라 철광석 가격의 소폭 상승세가 나타남",201602
"동,니켈,아연","글로벌 금융불안에 따른 하락세 EU, 일본 등 마이너스 금리정책 확산이 주요국 은행들의 수익성 악화 우려를 확대시키면서 글로벌 증시불안 및 위험자산 수요급감을 초래함. 이에따라 원자재 수요 또한 감소하면서 동과 아연가격은 각각 지난주 대비 2.1%, 1.7% 하락하였고, 특히 니켈의 경우 전주대비 6.5%나 급락하며 심리적 지지선인 8,000달러대가 무너짐. 이와같은 추세를 반영하며 Goldman Sachs는 `16년 동 가격 전망치를 기존 톤당 4,500달러에서 4,000달러로 11% 하향조정 하였으며, 주요인을 중국의 성장속도 둔화와 부동산 과다재고에 따른 신규 투자수요 부족으로 분석함",201602
"동,니켈,아연","시장분석 : 미 달러 약세기조에 따른 가격상승세(아연은 하락)
ㅇ 최근 미 달러화 가치가 낮아짐에 따라 비철금속 가격의 일시적 상승 발생
- 월평균 유로/달러는 2월 셋째주 0.896641로 전월의 0.920869보다 2.6% 하락
ㅇ 그러나 국제유가의 약세지속, 중국 성장세둔화로 전반적으로 낮은 가격대를
유지하고 있어 시황은 위축 상태
- 2월 셋째주 WTI 현물가격은 배럴당 29.6달러로 30달러선이 무너진 상황
- 중국의 `16년 1월 제조업 PMI는 49.4로 기준치 50이하이며, 전월대비 0.3p 하락",201602
"동,니켈,아연","시장분석 : 국제유가 상승기조에 따른 가격상승세
ㅇ 국제유가의 상승세에 따른 금속가격 동반 회복세
- 2월 넷째주 WTI 현물가격은 배럴당 32.8달러로 전주대비 10.6% 상승
- 주요 산유국간 1월기준 생산량 동결이 합의되고, 이란이 이를 지지함에
따라 공급과잉 조정기대로 유가상승세가 나타남
- 원유와 금속 등으로 구성된 원자재 펀드의 경우 원유비중이 높아 국제
유가와 금속가격간 상관성이 높아지고 있는 것으로 평가
ㅇ 글로벌 금융시장 불안이 지속됨에 따라 미연준의 금리인상 지연가능성이
커지면서 비철금속 수요를 개선시키고 있는 것으로 분석",201603
"동,니켈,아연","시장분석 : 국제유가 상승 및 유로 추가 양적완화 가능성
ㅇ 국제유가의 상승세에 따른 금속가격 동반 회복세
- 3월 첫째주 WTI 현물가격은 배럴당 35.9달러로 전주대비 9.6% 상승
- 미국의 2월 비농업취업자수가 전월대비 24만 2,000명 증가(예상치인 19
만명 크게 상회)하며 원유수요 개선전망
- 원유와 금속 등으로 구성된 원자재 펀드의 경우 원유비중이 높아 국제
유가와 금속가격간 상관성이 높아지고 있는 것으로 평가
ㅇ 미연준의 금리인상이 지연되고 있는 가운데 유로의 추가 양적완화 가능
성이 부상하면서 가격상승 압력을 가함
ㅇ 니켈의 경우 마다가스카르 정부는 수출입 화물 컨테이너 당 100달러의
수수료를 부과하는 ACD(Advance Cargo Declaration)를 시행하려 했으
나, Sherritt International사 등의 항의로 3월1일 상기 정책을 철회함",201603
유연탄,"국제유가 회복에 따른 유연탄 가격 상승세 국제유가 반등세(3월 둘째주 WTI현물가격은 배럴당 38.5달러로 전주대비 7.2% 상승)가 유연탄 가격의 상승세를 견인함. 단, 중국의 석탄수입 규제강화에 따라 `16년 1~2월 석탄수입량이 2,877만톤으로 전년동기대비 11.3% 감소하면서 상기 유가상승에 기인한 상승압력은 상쇄될 것으로 분석",201603
우라늄,"일본 지방법원의 원전재가동 불허판결에 따른 수요충격 발생 일본의 Otsu District법원은 Kansai Electric Power사의 Takahama 원전 3, 4호기 재가동 불허판결을 내리면서 우라늄 수요가 크게 위축된 것으로 나타남. 상기 판결로 일본의 원전 재가동 정책의 불확실성이 커지고 있어서 3월 둘째주 우라늄 가격은 지난해 8월 이후 최저치로 파운드당 30달러선이 무너짐",201603
철광석,"국제유가 상승 및 중국 경기부양 기대 확산 국제유가의 상승세와 중국의 경기부양책 기대심리에 편승하면서 철강재 가격상승에 따른 철광석 가격이 전주대비 16.2% 급등함. 단, Goldman Sachs등은 실질적인 수요개선의 신호부족으로 가격상승세가 일시적일 것으로 예상함",201603
"동,니켈,아연","국제유가 상승 및 달러화 약세에 따른 가격상승세 국제유가의 상승세와 달러화 약세(3월 둘째주 달러/유로는 1.1156으로 전주대비 1.4%상승)에 따른 비철금속의 가격회복세가 나타남. 그러나 중국의 1~2월 산업생산이 5.4% 증가에 그치며 지난해 12월 대비 0.5%p 하락하였고, 1월 수출성장 또한 -11.4%로 둔화세가 심화되고 있어 하방리스크가 커지고 있음",201603
유연탄,"국제유가의 완만한 상승세에 따른 유연탄 가격 보합세 3월 셋째주 WTI현물가격은 중국의 원유수입 증가와 미국의 원유시추기수 감소로 완만한 회복세를 보이며 배럴당 39.4달러로 전주대비 2.4% 상승함에 따라 유연탄 가격도 보합세가 나타남. 단, 중국의 석탄수입 규제가 지속되고 있고, 인도의 석탄수입량도 감소추세에 있기 때문에 하방리스크가 강하고, 상기 유가회복외에 가격상승요인이 부족한 것으로 분석. 한편, 유연탄 가격약세로 메이저인 미국 Peabody Energy사의 부도 가능성이 높아짐에 따라 호주 QLD주 Bowen Basin의 Wambo 등 다수의 우량 석탄광산의 매각가능성이 전해짐",201603
우라늄,"일본Kansai Electric Power사, 법원의 원전 재가동 금지명령에 대한 이의제기 일본 Kansai Electric Power사는 Otsu District법원의 Takahama 원전 3,4호기에 대한 재가동 금지명령에 대해 이의제기를 신청함. 독일의 E.ON 및 RWE사와 스웨텐 Vattenfall사도 독일 연방법원에 정부의 원전재가동 중지정책에 대한 이의제기를 하면서 그 결과에 따라 향후 우라늄 장기수요가 크게 영향을 받을 전망임. 한편, 미국 오바마 정부는 탄소배출 저감을 위해 에너지믹스에서 차지하는 원자력의 비중을 크게 평가하면서 원전의 확충이 불가피함을 언급함. 우라늄 현물가격은 거래량 부진으로 전주대비 1.6%하락하며, 가격약세가 지속됨.",201603
철광석,"경기부양 기대심리 완화에 따른 가격하향세 지난주 중국의 경기부양책 기대심리가 크게 나타나면서 철광석 가격이 유례없이 급등세를 보였으나, 중국의 무역지표 및 경기지표가 부진하면서 전주대비 8.3% 하락하며 상승폭을 반납함. 중국의 2월 수출 및 수입은 각각 전년대비 25.4%, 13.8%나 감소하였으며, 산업생산 또한 `16년 1~2월 5.4%증가에 그치면서 전년동기대비 1.4%p 하락하며 철광석 투자수요를 위축시킨 것으로 평가함. 한편 광미댐 붕괴사고로 19명 사망사고가 발생한 브라질 Samarco광산이 금년내 재가동될 가능성이 높아 공급과잉 압력을 가중시킬 전망임",201603
"동,니켈,아연","중국 경제지표 악화 및 미연준 추가 금리인상 가능성 철광석과 유사하게 비철금속 또한 지난주 중국의 경기부양 기대심리에 기인하면서 가격회복이 크게 나타났지만, 중국의 산업생산과 무역지표가 크게 악화되면서 원자재 수요위축에 따른 가격 하향세가 나타남. 펀더멘털 측면에서 공급과잉이 이어지고 있고, 미연준의 인플레이션 언급수위가 높아짐에 따라 추가 금리인상 가능성도 배재할 수 없어 하방리스크가 커지고 있는 상황임",201603
"동,니켈,아연","미달러화 약세와 중국 부동산 회복기대에 따른 가격상승세 미연준의 추가금리 인상 지연으로 3월평균 달러/유로 환율이 1월평균 대비 2.3% 상승하는 등 미달러화 가치가 낮아지는 추세임. 또한 중국의 2월 신규 주택가격이 호조를 나타내었고, 선강릉(선진과 홍콩증시 교차거래 허용) 시행이 예상되면서 비철금속 가격상승요인으로 작용함",201603
유연탄,"국제유가 보합세, 인도 석탄수입 감소세에 따른 가격 하락세 3월 넷째주 WTI현물가격은 IEA의 미국 셰일오일 감산전망에도 불구하고 배럴당 39.5달러로 전주대비 0.1%상승에 그쳤고, 인도의 `15년4월~`16년1월 석탄수입량이 자국생산량 증가로 인해 전년동기대비 16% 감소하는 등 하방리스크가 우세한 상황임",201603
우라늄,최대생산국 카자흐스탄의 광산 회수가능성에 따른 불확실성 우라늄 최대생산국가인 카자흐스탄 대통령은 외국기업들의 광산 개발관련 의무불이행을 이유로 국영기업인 Kazatomprom사와 외국기업이 공동으로 소유하고 있는 우라늄 광산자산을 회수할 수 있다고 언급하면서 공급불확실성이 높아지면서 재고과다에 따른 그간의 가격하방압력을 상쇄한 것으로 평가,201603
철광석,"달러화약세 및 중국 철강수요 개선에 따른 가격상승세 달러화약세 기조와 중국의 건설재 중심의 철강수요 개선이 나타나면서 철광석가격이 전주대비 5% 상승함. 3월18일 기준 중국 주요 도시의 철강재 유통재고량이 1,171만톤으로 전주대비 3.1% 감소하는 등 철강소비가 개선되는 추세이며, 이에따른 철광석 가격상승압력이 이어질 전망",201603
"동,니켈,아연","벨기에 테러 및 미연준 금리인상 우려에 따른 투자위축 벨기에 브뤼셀 폭탄테러 및 4월 미연준의 추가 금리인상 가능성으로 위험자산에 대한 투자수요가 위축되면서 비철금속 가격의 동반하락세가 뚜렷하게 나타남. 또한 미국의 제조업 및 서비스업 PMI가 각각 51.4, 51.0으로 모두 예상치를 하회하면서 시장에 부정적인 신호를 보낸 것이 영향을 미친 것으로 분석",201604
유연탄,"국제유가 하락세에도 불구하고 인도의 계절성 수요증가로 가격상승세 IEA의 산유국간 감산합의에 대한 부정적 전망과 미국의 원유재고량 증가로 3월 5주차 WTI현물가격은 전주대비 6.7%감소하였으나, 인도에서 계절성 몬순을 대비한 선제적 비축수요가 증가할 것으로 기대되면서 소폭의 가격상승세 시현",201604
철광석,"중국 수요둔화 및 달러화반등에 따른 가격하락세 중국의 베이징, 선전 등 1선도시들의 신규 주택가격이 상승하고는 있으나, 2,3선도시들의 과다재고가 여전하고, 철강수요 개선신호 또한 부족한 상황임. 또한 4월 미연준의 금리인상 재개가능성이 높아짐에 따라 철광석의 가격하향세가 나타남",201604
우라늄,"우라늄광산 경영성과 개선소식과 유가 하락세 자원전문 컨설팅사인 CRU에 따르면 `15년 대부분의 우라늄 광산들은 가격위축세 속에서도 러시아, 카자흐스탄, 호주 등 생산국 통화가치 하락과 유가하락에 따른 생산원가 하락으로 흑자경영을 한 것으로 분석함. 이에따라 우라늄시장이 추가 가격인하 여력이 남아있는 상황에서 유가하락에 따른 가격하방압력을 받은 것으로 평가",201604
"동,니켈,아연","중국 수요둔화 전망 및 미연준 금리인상 재개가능성에 따른 하향세 최근 Barclays사는 `16년 동가격이 중국 수요둔화로 톤당 4,000달러대에 머물 것으로 전망했고, CRU사도 중국의 동 수요 증가율을 `06년이래 최저치인 0.6%에 그칠 것으로 전망함. 한편, 미국의 3월 비농업부문 취업자수가 전월대비 21.5만명 증가하는 등 고용지표 호조세가 나타나면서 금리인상 재개가능성이 부각됨에 따라 가격 하락요인이 발생함",201604
유연탄,"유가상승에도 불구, 인도의 유연탄 수입감소세 심화에 따른 시장약세 4월 1주차 WTI현물가격은 배럴당 39.72달러로 전주대비 8.0% 증가하였으나, 인도의 국영전력기업인 NTPC사의 연료탄 수입량이 `15년4월~`16년3월 947백만톤을 기록하면서 전년동기대비 42%나 감소하였으며, 금년 수입전망도 전력수요 감소와 자국내 석탄생산증가로 인해 유연탄 가격은 하방압력을 크게 받을 전망임",201604
철광석,중국 수요둔화에 따른 가격하락세 3월 둘째주경 9개월래 최고치인 톤당 60달러까지 상승했던 철광석가격이 4월 첫째주에는 톤당 54.6달러로 고점대비 9.1% 하락하며 조정국면에 들어선 것으로 분석. 중국의 철강산업 과잉설비 감축계획(향후 5년내 철강 생산용량 1~1.5억톤 감축계획)이 지속적으로 하방리스크로 작용하고 있는 상황임,201604
우라늄,"일본 Ikata원전 3호기 재가동 가능성에 따른 가격보합세 일본 Sendai원전 1,2호기에 대한 재가동중지 청원이 대법원에 의해 기각되었고, Ikata원전 3호기는 지난주초 안전도 검사를 개시하면서 7월에 재가동승인 가능성이 높아짐에 따라 상승요인이 발생했으나, 우라늄 거래량이 4건 45만파운드에 불과했고, World Nuclear Fuel Cycle컨퍼런스에서 우라늄의 단기적 공급과잉 이슈가 부각되면서 상기 상승요인을 상쇄한 것으로 분석",201604
"동,니켈,아연","미연준 금리인상 지연 및 중국 무역지표 개선에 따른 가격상승세 Yellen 미연준의장은 4월8일 전현직 연준의장간 간담회에서 완만한 금리인상을 시사했으며, 중국은 3월 수출액이 전년대비 11.5% 증가하며 9개월만에 증가세로 전환함에 따라 비철금속 수요가 개선된 것으로 분석. 다만, 동의 경우 상해기화교역소(SHFE)의 재고량이 3월 40만톤에 육박하였고, 니켈은 3월초 뉴칼레도니아의 대중국 니켈원광 수출재개로 인해 중국의 니켈선철(NPI) 생산재개가 예상되면서 가격하방리스크가 잠재중임",201604
유연탄,"인도의 연료탄 재고과다에 따른 시장약세 4월 2주차 WTI현물가격은 배럴당 40.4달러로 전주대비 1.6%로 완만한 증가세를 보인 가운데, 인도의 수입수요 감소가 우려되는 상황임. 인도 전력청에 따르면 101개의 석탄발전소의 연료탄 재고가 3,902만톤(소비환산 26일치)에 달하면서 전월대비 6.4%, 전년동월대비 45%나 증가함에 따라 수입수요 감소전망으로 유연탄 시장 약세가 나타남",201604
철광석,"중국 철강재 가격상승 및 계절적 수요효과로 철광석 가격상승세 중국 철강산업의 수익성이 개선되면서 철강가격 상승효과와 건설활동 증가에 따른 계절적 수요증가로 철광석 가격이 전주대비 7.7% 증가하는 상승세를 보임. 다만, 4월말 중국 탕산시에서 개최되는 국제정원박람회로 인해 주요 철강생산지인 허베이성의 철강 생산차질이 예상되기 때문에 가격상승이 상쇄될 것으로 분석",201604
우라늄,"거래부진 및 우라늄 재고과다에 따른 시장 약세 4월 2주차 우라늄 현물거래는 6건 60만파운드로 여전히 수요부족 상황이며, 금년들어 25%나 가격이 하락하였음. 메이저 Rio Tinto사의 자회사인 ERA(Energy Resources of Australia)사는 1분기 우라늄 생산량이 21% 증가했으나 처리된 광석은 모두 재고에서 충당하면서 우라늄 시장의 재고과다에 따른 가격약세가 이어짐",201604
"동,니켈,아연","국제유가 상승 및 중국 경제지표 개선에 따른 가격 상승압력 우세 4월셋째주 국제유가(WTI현물가)는 배럴당 43.7달러로 전주대비 8.4% 상승하면서 원자재 가격상승압력이 커진 가운데, 중국의 경제지표 개선 및 주요국 주가상승세에 따른 안전자산 선호완화로 비철금속 가격상승세가 나타남. 중국의 3월 산업생산은 6.8%로 전월대비 1.4%p 상승하였고, 동 수입량이 전월대비 36% 증가하면서 가격상승요인으로 작용함",201604
철광석,"중국의 철강가격 회복 및 메이저 감산전망에 따른 가격상승세 CISA(China Iron & Steel Association)에 따르면 중국의 철강재고가 4월 15일기준 9,960만톤으로 2월의 1억2,600만톤대비 26.5%감소함에 따라 철강가격지수가 전년수준을 회복하면서 철광석 가격이 연초대비 50%나 상승한 톤당 65달러를 기록함. 또한 메이저인 Vale, Rio Tinto, BHP Billiton의 금년 생산전망치가 전년대비 감소할 것으로 발표되면서 감산조정 기대감으로 가격 상승압력이 우세한 것으로 분석",201604
유연탄,"국제유가 상승세와 중국 석탄 공급조정에 따른 가격 회복세 국제유가가 사우디와 러시아의 생산공조 기대감으로 전주대비 8.4% 상승함에 힘입어 유연탄 가격이 소폭 회복한 것으로 나타남. 또한 중국정부의 석탄감산조정이 추진되고 있어 공급측면에서도 상승압력이 발생할 것으로 평가. 중국은 석탄광의 평균 가동일수를 연 330일에서 276일로 축소조정하기로 하였고, 각 탄광의 생산량 한도도 이에따라 하향조정될 전망",201604
우라늄,"일본 원전 재가동 차질 및 재고과다에 따른 시장 약보합세 일본의 Takahama원전 3,4호기에 대한 법원의 재가동금지명령 여파로 원전수요가 위축되고 있는 가운데 대형 우라늄광산인 Cigar Lake가 정상생산에 돌입하면서 과다재고에 대한 우려가 심화됨. 단, 상기 광산 운영사인 Cameco사가 연500만파운드 감산결정을 내림에 따라 가격상승요인도 잠재중임",201604
"동,니켈,아연","미연준 기준금리 동결 및 국제유가 상승에 따른 소폭의 상승세 미연준은 지난주 FOMC회의에서 기준금리를 동결함에 따라 미달러 약세기조가 유지되었고, 4월넷째주 국제유가(WTI현물가)는 주요 산유국간 공조회의 재개최 가능성으로 배럴당 45.9달러, 전주대비 5% 상승하면서 가격상승압력이 발생함. 4월 미달러화 평균가치(유로/달러)는 0.898016으로 전월대비 1.8% 하락함. 단, 미국의 4월 제조업 PMI가 50.8로 전월대비 0.7p 하락하면서 경제지표 부진에 따른 가격하락요인이 일부 발생한 것으로 분석",201605
