날짜,광물이름,보고서 내용
202504,몰리브덴,"25.3월, 몰리브덴 정광(배소한 것) 수입량은 2,097톤으로 전년 동기 대비 3.4% 감소, 수입액은 U$56,215천으로 전년 동기 대비 2.4% 감소하였음. 같은 기간 몰리브덴 정광(기타) 수입량은 1,462톤으로 전년 동기 대비 5.7% 감소하였고, 수입액은 U$37,931천으로 전년 동기 대비 20.0% 증가세를 나타냄"
202504,몰리브덴,"다만, 중국은 2월부터 핵심광물 5종(몰리브덴, 텅스텐, 텔루륨, 비스무스, 인듐)에 대한 수출통제를 시행함에 따라 공급차질 우려로 상기 하방압력이 일부 상쇄됨"
202504,몰리브덴,"페로몰리브덴 3월 평균가는 톤당 RMB219,095로 미국의 철강제품 관세부과 결정에 따른 원재료 수요둔화 우려 및 중국 경기 부진으로 전월 대비 4.0% 하락함"
202504,몰리브덴,"25.3월 평균가격 : RMB219,095/t(전월 대비 4% 하락)"
202504,안티모니,"중국 1~2월 안티모니 금속 생산량 하락 ‐중국의 1~2월 안티모니 생산량이 전년 동기 대비 급감함. 해당 기간 안티모니 금속 생산량은 전년 대비 41% 하락한 6,741톤이었고 삼산화안티모니 생산량은 24% 하락한 10,678톤으로, 전 세계 자원 고갈로 인한 정광 공급 부족이 생산량 감소의 주요 원인으로 지목됨. 중국 후난성의 일부 제련소가 정광 공급 부족으로 고로 가동을 중단함에 따라 3~4월 안티모니 생산량은 전년 동기 대비 낮은 수준을 유지할 것으로 예상됨 ‐작년 9월 이후 중국의 안티모니 수출 통제로 인해 중국 외 안티모니 공급이 엄격해지면서 국제 안티모니 가격이 중국 내 안티모니 가격보다 급등함. 중국과 국제 시장 간의 현저한 가격 차이로 인해 중국 제련소의 정광 공급이 제한되고 안티모니 생산량이 감소함. 미얀마 및 호주산 정광이 중국 외 제련소로 이동하여 더 높은 가격에 판매될 수 있기 때문임. 중국 세관 자료에 따르면 중국은 1~2월 안티모니 정광 8,074톤을 수입했는데 이는 전년 대비 20% 감소한 수치임"
202504,니오븀,"25.3월, 페로니오븀 수입량은 649.1톤으로 전년 동기 대비 9.9% 증가, 수입액은 U$18,910천으로 전년 동기 대비 9.3% 증가하였음. 같은 기간 니오븀(컬럼븀) 수입량은 4.4톤으로 전년 동기 대비 120.0% 증가, 수입액은 U$426천으로 전년 동기 대비 121.9% 증가세를 나타냄"
202504,안티모니,"미국, 중국 주요 광물 수출금지 조치 이후 산화안티모니 수입처 확대 ‐미국은 중국 정부가 지난해 9월 주요 광물의 수출 금지를 발표하고 12월초부터 미국으로의 수출을 금지한 이래로 유럽 국가, 주로 벨기에와 프랑스에서 산화안티모니 수입량을 늘림. 금속 및 산화물에 대한 글로벌 안티모니 가격은 중국이 2024년 9월에 수출 통제를 시행한 이후 기록적으로 뛰어올랐으며 이는 안티모니 제품의 공급 부족을 초래함. 미국은 2024년 9월~2025년 1월, 19,071톤의 산화안티모니를 수입했으며, 그 중 절반은 벨기에에서 수급함. 한편 2020~2023년에는 중국으로부터의 산화안티모니 수입량은 76%를 차지하고 벨기에로부터의 수입량은 11%에 불과했음"
202504,안티모니,"산화안티모니 수입액 비중은 중국(U$566천, 40.5%), 베트남(U$466천, 33.3%), 태국(U$263천, 18.8%) 등 상위 3개국이 93%를 차지함"
202504,안티모니,"산화안티모니 3월 평균가는 톤당 U$27,731.25로 전월 대비 14.41% 상승하였으며, 전년 동월 대비 148% 급등함. 안티모니 정광 부족 및 중국 수출 통제 조치 등으로 인해 산화안티모니 가격은 급격한 상승 추세를 보임"
202504,안티모니,"25.3월 평균가격 : U$27,731.25/t(전월 대비 14.41% 상승)"
202504,마그네슘,"Baowu Magnesium, Autoliv와 마그네슘 개발 협력 파트너십 구축 ‐Baowu Magnesium Technology(이하 Baowu Magnesium)는 Automotive Safety System(이하 Autoliv)과 경량 자동차 개발 및 안전을 위한 전략적 파트너십을 위한 협정을 체결함. 이번 파트너십은기술 혁신 및 자동차 업계의 지속적인 개발을 촉진하는 것을 목표로, 자동차 무게 경감 및 안전 강화에 중점을 둠. Autoliv는 자동차 안전 시스템의 세계적인 리더로서 전 세계 자동차 제조업체를 위한 안전솔루션을 제공하고 Baowu Magnesium은 경금속 원재료 부문에서 선도적인 역할을 담당하는 기업으로,양사의 파트너십 체결은 마그네슘 합금의 적용을 통해 자동차 안전 시스템에서 한층 효율적이고 안전한 환경을 제공할 것으로 기대함"
202504,마그네슘,"유럽연합, Verde Magnesium을 전략 프로젝트로 지정 ‐EU는 루마니아의 Verde Magnesium을 유럽의 핵심원자재법 전략 프로젝트로 지정함으로써 20년 만에 EU 최초의 역내 마그네슘 생산을 위한 기반을 마련함. Verde Magnesium은 유럽 지역의 산업을 위한 저탄소 마그네슘 금속을 생산하기 위해 루마니아에 채굴 및 가공 시설을 건설하는 프로젝트로, 현재 유럽은 마그네슘 수급을 전적으로 중국에 의존하고 있는 상황임 ‐Verde Magnesium이 전략 프로젝트로 선정됨으로써 향후 허가 절차 간소화 및 토지 할당 등의 지원을 받을 수 있을 것으로 전망됨. 상업화 생산은 2028년 말에 예정되어 있으며 초기 생산은 연간 15천~20천톤, 2030년에는 연간 30천톤, 2036년까지 최대 생산량을 90천톤까지 끌어올릴 것으로 예상함 ‐핵심원자재법에 의하면 마그네슘 금속은 전략 및 핵심 광물로 지정되어 있지만 유럽은 현재 97%의 금속을 중국에서 수입하고 있음. 프랑스 알루미늄 회사 Pechiney의 프랑스 소재 마그네슘 생산 플랜트가 유럽 지역 내 운영되고 있었던 마지막 프로젝트로, 저가의 중국 마그네슘 수입으로 인한 수익성 악화로 2001년에 폐쇄된 바 있음"
202504,마그네슘,"중국 Banchao, 신장에 마그네슘 플랜트 건설 ‐중국 마그네슘 제품 생산업체 Xinjiang Banchao Magnesium은 중국 북서부 신장성 하미시에 플랜트 건설을 착수함. 3월 1일 부지건설이 시작되었으며 올해 말 건설을 완료하여, 2026년 생산을 개시할 계획임. 상기 플랜트는 연 20천톤의 마그네슘금속 및 30천톤의 마그네슘잉곳 생산 용량을 갖출 예정임 ‐Banchao Magnesium은 Xinjiang Baochao의 자회사로 주요 사업 범위는 석탄 및 비철금속의 채굴 및 판매, 태양 및 풍력 에너지 발전 분야임. 동사는 하미시의 신규 플랜트 외에 마그네슘 관련 제품을 위한 다섯 개의 플랜트를 더 보유하고 있고 연간 생산량은 마그네슘금속 20천톤, 석탄 제품 1.2백만톤 및 코크스 600천톤에 이름 ‐2024년 중국은 전년 대비 16% 증가한 마그네슘 953.1천톤을 생산했고 그 중 신장에서의 생산량은 86.3천톤으로 전년 대비 26% 증가함. 신장 지역은 백운석 및 석탄 매장량이 풍부하고 대부분의 마그네슘 금속 제련소가 하미시에 위치하고 있음"
202504,마그네슘,"마그네시아수입액비중은중국(U$4,988천,87.3%),일본(U$700천,12.2%),러시아(U$13천,0.2%)순임"
202504,마그네슘,"25.3월,마그네시아수입량은17,599톤으로전년동월대비0.7%감소,수입액은U$5,713천으로전년동월 대비3.8%증가하였음.같은기간수산화마그네슘수입량은1,064톤으로전년동월대비57.2%증가하였고, 수입액은U$1,407천으로전년동월대비26.1%증가세를나타냄"
202504,마그네슘,"‘24년 3분기 이래 마그네슘 시장의 지속적인 가격 하락 으로, 중국 산시성 일부 마그네슘 생산업체들은 수익성 개선을 위해 마그네슘 생산량·판매량 조정을 단행중임"
202504,마그네슘,"마그네슘메탈 3월 평균가는 톤당 U$2,208.75로 전월 대비 1.45% 하락함"
202504,마그네슘,"25.3월 평균가격 : U$2,208.75/t(전월 대비 1.45% 하락)"
202504,니오븀,"다만, 미국 발 관세리스크 확산에 따른 경기 둔화 우려로 상기 상방압력이 상쇄된 것으로 분석됨"
202504,니오븀,"국내 페로니오븀은 브라질(U$18,910천, 100%)에서 전량 수입함"
202504,텅스텐,"중국, 2025년 1~2월 텅스텐 수입 증가, 수출 감소 ‐중국 1~2월 텅스텐 정광 수입은 2,049톤으로 전년 대비 30% 증가하였고 수출은 2,231톤(금속 당량 기준)으로 전년 대비 11% 감소함. 자국 내 원료 공급 긴축으로 수입은 증가한 반면 수출 통제 조치로 수출은 감소한 것으로 보임. 정부로부터 수출 허가를 받지 못해 텅스텐 수출은 3월에 더 감소할 것으로 예상됨"
202504,셀레늄,"25.3월, 셀렌 수입량은 3톤으로 전년 동기 대비 50.0% 증가하였고, 수입액은 U$168천으로 전년 동기 대비 34.4% 증가하였음"
202504,리튬,탄산리튬 3월 평균가는 kg당 RMB72.17로 1년 내 최저가 RMB70.55/kg(24.9월)에 근접함
202504,갈륨,"그리스 Metlen, 2028년까지 갈륨 생산량 연간 50톤으로 확대 계획 ‐그리스 Metlen은 2028년부터 스마트폰 등에서 사용되는 핵심광물인 갈륨의 생산을 연간 50톤으로 확대하여 유럽연합(EU)의 전체 수요를 충족시킬 것이라고 발표함. EU는 고급 반도체에도 사용되는 갈륨을 에너지 전환과 안보를 위한 중요한 자원으로 지정함. Metlen는 €300백만을 투자하여 갈륨 생산을 확대하고, 희토류 금속인 스칸듐과 게르마늄 생산으로도 활동을 확장할 계획임. 또한, EU는 관련 프로젝트를 지원할 것이라고 밝혔으며, 향후 그리스는 핵심광물 공급에서 중요한 역할을 할 것으로 예상됨"
202504,갈륨,"캐나다 Neo Performance Materials, 글로벌 갈륨 공급망 확장 및 공급 안정성 강화 ‐캐나다 Neo Performance Materials는 중국의 수출 통제로 인한 글로벌 공급 부족 상황 속에서 갈륨 공급망 내 입지를 강화함. 미국 오클라호마 갈륨 트리클로라이드 시설의 지분을 매각하고, 캐나다 피터버러 공장과 7년간 갈륨 공급 및 스크랩 회수 계약을 체결하며 북미 내 안정적 공급 체계 구축에 나섬"
202504,갈륨,"호주 Victory, North Stanmore 희토류 프로젝트에서 갈륨 생산 ‐호주 Victory Metals는 서호주 North Stanmore 희토류 프로젝트에서 갈륨을 함유한 혼합 희토류 탄산염 샘플을 생산했다고 발표했으며, 이는 호주 내 최초의 갈륨 생산 사례로 평가됨. 해당 샘플은 57개 지점에서 채취한 광물 시료를 바탕으로 제조되었으며, 탄산염 내 갈륨 함량은 38g/t 수준임. 다만, North Stanmore 프로젝트는 현재 생산 전 단계로, Victory는 최근 갈륨 회수를 제외한 예비 타당성 조사를 발표하고, 프로젝트 기간 동안 혼합 희토류 탄산염 59,300톤과 스칸듐·하프늄 산화물 3,080톤을 생산할 계획임"
202504,갈륨,"호주 Axel REE, 브라질 고품위 갈륨 매장지 확보 및 연구 협력체계 구축 ‐호주 Axel REE는 브라질 미나스제라이스(Minas Gerais) 주와 남반구 유일의 희토류 자석 생산 시설인 LabFab ITR 운영을 위한 협력에 합의하고, 희토류·갈륨·리튬 탐사를 위한 비구속적 협정(Non-binding agreement)을 체결함. Axel REE는 원료를 공급하고 연구 및 시험 생산에 참여할 예정이며, 미나스제라 이스 주는 프로젝트의 탐사부터 운영까지를 지원하고 인허가 절차 간소화 등 행정 지원도 제공할 계획임. 현재 Axel REE는 해당 지역에 두 개 프로젝트를 보유 중이며, 이 중 Caladão 프로젝트는 세계 최고 수준의 고함량 갈륨 광물 매장지로 최종 탐사 단계에 있고, Caldas 프로젝트는 초기 탐사 단계에 있음"
202504,갈륨,"갈륨(괴 등) 수입액 비중은 영국(U$1천, 50.0%)과 미국(U$1천, 50.0%)이 전체 수입액의 100.0%를 차지함"
202504,갈륨,"25.3월, 갈륨(괴 등) 수입량은 2kg으로 전년 동기와 같은 수준이고, 수입액은 U$2천으로 전년 동기 대비 50.0% 감소하였음. 같은 기간 갈륨(기타) 수입량은 1kg으로 전년 동기 대비 99.9% 감소, 수입액은 U$7천으로 전년 동기 대비 99.4% 감소세를 나타냄"
202504,갈륨,"갈륨메탈 3월 평균가는 kg당 U$677.50로 전월 대비 7.11% 상승하며, 최근 1년 중 최고가를 기록함. 전자, 태양광, 반도체 등 산업 수요 증가와 주요 생산국 및 공급국인 중국의 수출통제 강화로 공급이 타이트 해지며 가격 상승이 발생함"
202504,갈륨,25.3월 평균가격 : U$677.50/kg(전월 대비 7.11% 상승)
202504,셀레늄,"셀레늄 수출 규제 및 신규 설비 가동으로 공급 환경 변화 전망 ‐유럽 시장에서는 셀레늄 공급 타이트 현상이 일정 부분 지속되며 아시아 및 중국과의 시장 분리가 이어지고 있음. 중국의 수출 규제로 인해 해외 시장에서는 셀레늄 가격 프리미엄이 형성되고 있으며, 이에 따라 수출업체들은 오퍼 전략을 조정하며 신중한 대응에 나서고 있음. 또한, 중국 귀주성 내 일부 신규 셀레늄 생산 설비가 2024년 4분기부터 가동되기 시작하며 공급 여건에 변화를 줄 것으로 예상됨. 이는 중장기적으로 셀레늄 시장 재편과 트레이더들의 거래 전략 변화에 영향을 줄 수 있는 요소로 작용할 전망임"
202504,셀레늄,"유리·세라믹·망간플레이크 산업 장기계약 영향으로, 셀레늄 수요 제한적 ‐유리, 세라믹, 망간플레이크 등의 산업 수요가 장기계약 중심으로 유지되면서, 단기적인 구매 활동은 다소 제한적인 상황임. 다만, 최근 일부 망간플레이크 생산업체들이 재고 보충에 나서는 등 일부 지역에서 수요 회복세도 관측되고 있음. 따라서 전반적으로 수요 기반은 견조하지만 뚜렷한 성장세는 제한적인 것으로 판단됨"
202504,셀레늄,"셀렌 수입액 비중은 중국(U$99천, 58.9%)과 일본(U$69천, 41.1%)이 전체 수입액의 99.95%를 차지함"
202504,셀레늄,"이산화셀레늄의 3월 평균가는 kg당 RMB106.88로, 전월 대비 2.84% 하락하며 최근 1년 중 최저가를 기록함. 유리·망간업계의 장기계약 중심 소비 구조와 글로벌 수요 둔화, 투자 수요 위축 속에 신규 설비 가동 등으로 공급이 확대되며 가격 하방 압력이 지속되고 있음"
202504,니오븀,"캐나다 Neo Performance Materials, 말라위 Globe Metals Mining과 오프테이크 계약 체결 ‐캐나다 Neo Performance Materials는 Globe Metals and Mining과 말라위 Kanyika 탄탈륨니오븀 프로젝트에서 생산된 오산화니오븀에 대한 오프테이크 계약을 체결함(25.3월) ‐이 계약에 따라 Neo는 Kanyika 프로젝트에서 생산된 오산화니오븀을 연간 최대 150톤을 확보할 수 있으며, 탄탈륨 및 지르코늄 정광을 포함한 다른 금속에 대해서도 제한된 우선매수권을 확보함 ‐해당 프로젝트의 운 영권자인 Globe Metals and Mining은 27년 1분기에 Kanyika 광산의 1단계 생산을 시작할 계획임"
202504,셀레늄,25.3월 평균가격 : RMB106.88/kg(전월 대비 2.84% 하락)
202504,인듐,"캐나다 5N Plus, 우주용 반도체 확대에 따른 인듐 기반 화합물 수요 증가 기대 ‐캐나다 5N Plus는 AlInGaP, AlGaAs, InGaAs 등 인듐 기반 화합물 반도체를 활용한 우주용 태양광 소재 사업의 생산 능력을 확대 중이며, 올해 관련 부문의 매출은 전년 대비 30% 증가할 것으로 전망됨. 해당 화합물은 인듐 외에도 갈륨, 게르마늄 등이 포함되며, 이는 미중 갈등 속 핵심광물 공급망 재편 흐름과도 연관됨. 이처럼 우주항공 및 고부가 전력소자 분야 수요 확대로 인듐 기반 소재의 수요가 점차 증가하는 추세임"
202504,인듐,"미국 Nvidia, AI 반도체 수요 급증에 따라 인듐 화합물 등 반도체 수요 확대 전망 ‐미국 Nvidia는 2024년 4분기 매출이 전년 대비 79% 증가한 U$393억을 기록했으며, 데이터센터용 고성능 반도체 수요가 급증하면서 연간 매출도 U$1,305억으로 전년 대비 114% 증가함. 특히 AI용 최신 칩인 'Blackwell' 제품 출시에 따른 수요 확대가 주요 원인으로, 해당 시스템에는 인듐 인화물, 갈륨 아세나이드, 갈륨 나이트라이드 등 화합물 반도체와 텅스텐, 탄탈륨 커패시터 등 다양한 부품이 포함됨. AI 데이터센터 성장과 더불어 인듐 기반 화합물 반도체 수요 확대가 예상됨"
202504,인듐,"AI 및 반도체 기술 발전에 따른 인듐 수요 증가 전망 ‐인공지능(AI) 기술 발전과 반도체 기술의 진전에 따라, 인화인듐 기반 반도체 소재에 대한 수요가 증가할 것으로 예상됨. 현재 반도체는 전체 인듐 소비의 약 10%를 차지하며, LCD 시장의 성장에 따른 연간 2~3%의 성장률을 주도하고 있음. 특히 AI와 데이터 저장 기술의 발전으로 메모리 용량에 대한 수요가 증가하고 있어, 반도체 제조업에서 인듐의 중요성은 더욱 강화될 전망임. 이러한 변화는 향후 몇 년 동안 인듐 시장에서 지속적인 성장을 이끌 것으로 보임"
202504,인듐,"글로벌 인듐 시장, 지정학적 분열로 인한 가격 변동성 확대 ‐최근 희소금속무역협회(MMTA) 연례 회의에서 업계 관계자들은 인듐 가격의 지난 7년간 안정세가 종료되고, 글로벌 시장이 중국, 미국, 기타 지역(주로 유럽)으로 삼분화되는 구조적 변화가 본격화 되었다고 평가함. 캐나다 AIM Products 인듐 사업부 매니저 Brian ONeill은 “과거에는 수요와 공급이 가격을 결정했지만, 이제는 지정학적 변수와 자유무역 제한이 시장을 좌우하고 있다”고 언급함 ‐코로나19 팬데믹을 계기로 인듐 공급망은 급속히 재편되었으며, 가격은 중국·미국·유럽 간 분리가 심화됨. 특히 중국은 LCD 생산시설 이전과 인듐 주석 산화물(Indium Tin Oxide) 수요 급증으로 글로벌 시장에서 지배력을 강화하게 되었으며, 미국은 고율 관세를 부과하고 공급망 독립화를 추진 하면서 선매입을 확대함 ‐한편, 중국 내 시장은 공급 과잉과 수요 둔화로 인해 가격이 여전히 낮은 상태를 유지하고 있으며, 리양중롄진 거래소에서 선물 시장이 개설되면서 가격 변동성이 확대됨"
202504,인듐,"인듐(괴 등) 수입액 비중은 중국(U$8,387천, 98.6%), 일본(U$113천, 1.3%), 미국(U$3천, 0.04%)으로 3개국이 전체 수입액의 99.9%를 차지함"
202504,인듐,"25.3월, 인듐(괴 등) 수입량은 27톤으로 전년 동월 대비 58.8% 증가, 수입액은 U$8,503천으로 전년 동월 대비 81.9% 증가하였음. 같은 기간 인듐(기타) 수입량은 1톤으로 전년 동월 대비 50.0% 감소하였고, 수입액은 U$204 천으로 전년 동월 대비 54.8% 감소세를 나타냄"
202504,인듐,"인듐메탈 3월 평균가는 kg당 U$382.81로 전월 대비 2.42% 상승하였으며, 이는 최근 1년 동안의 최고가 (‘24.6월 U$391.25)에 근접한 수준임. 인듐메탈은 전자기기와 태양광 산업의 성장으로 수요 증가가 촉진되고, 환경 규제 강화 및 제련소 가동 중단 등 으로 공급 감소가 발생하여 가격 상승압력이 지속됨"
202504,인듐,25.3월 평균가격 : U$382.81/kg(전월 대비 2.42% 상승)
202504,니오븀,"중국, 25. 2월 니오븀-탄탈륨 정광 수입 증가세 ‐중국의 25. 2월 니오븀-탄탈륨 정광 수입량은 1,203톤으로 전월 대비 38.9%, 전년 동월 대비 35.7% 증가세를 나타냄. 같은 기간 수입금액은 U$34백만으로 전월 대비 35.6%, 전년 동월 대비 26.7% 증가함. 중국의 25. 1~2월 누적 수입량은 2,070톤으로 전년 동기 대비 24.8% 증가한 것으로 나타남"
202504,니오븀,"중국, 25. 3월 산화니오븀 생산량 증가세 ‐시장조사기관 Asian Metal에 따르면, 중국의 금년 3월 산화니오븀 생산량은 543톤으로 전월 대비 39.2% 증가, 전년 동월 대비 17.3% 증가한 것으로 나타남. 같은 기간 중국 내 산화니오븀 제조업체들의 플랜트 가동율도 68.9%로 전월 대비 19.4% 증가, 전년 동월 대비 3.9% 증가함"
202504,니오븀,"중국 CMOC, 24년 니오븀 판매량 전년 대비 7% 확대 ‐중국 다금속 생산업체인 CMOC는 신재생에너지 산업의 견고한 수요에 힘입어 24년 니오븀 판매량 이 증가하였다고 발표함. 최신 재무보고서에 따르면 동사의 24년 니오븀 판매량은 금속 기준 10,028톤으로 전년 대비 7% 증가하였고, 재고량은 827톤으로 전년 대비 0.5% 감소한 것으로 나타남. 동사는 올해에도 작년과 유사한 수준인 니오븀 9,500~10,500톤을 생산할 계획임 ‐CMOC社는 China Minmetals社에 이어 중국내 2위 텅스텐 정광 생산업체이며, 몰리브덴, 동, 코발트, 니오븀 등도 생산하는 업체임"
202504,텅스텐,"중국 CMOC, 2024년 텅스텐 판매 증가 ‐신에너지 산업의 수요 증가로 동사의 2024년 텅스텐 판매량이 8,288톤(금속 기준)으로 전년 대비 4% 증가함. 동사는 China Minmetals에 이어 중국에서 두 번째로 큰 텅스텐 정광 생산업체이며 Sandaozhuang Molybdenum-Tungsten 광산에서 텅스텐 광석을 생산하고 있음"
202504,안티모니,"25.3월, 산화안티모니 수입량은 55톤으로 전년 동월 대비 78.5% 감소, 수입액은 U$1,399천으로 전년 동월 대비 52.1% 감소하였고, 같은 기간 안티모니 괴(塊), 가루 수입량은 189톤으로 전년 동월 대비 80.0% 증가하 였고, 수입액은 U$8,607천으로 전년 동월 대비 271.3% 증가세를 나타냄"
202504,텅스텐,"캐나다 Almonty Industries, American Defense International(ADI)과 전략적 파트너십 계약 체결 ‐Almonty Industries는 미국 전직 고위 공무원, 의회 보좌관 등으로 구성된 로비업체인 ADI와 파트너십 계약을 체결했다고 발표함(‘25.3월). 동사는 2015년에 강원도 영월 상동 텅스텐 광산을 인수한 바 있으며 올해 텅스텐 정광 생산 후 미국으로 우선 수출하고자 함. 금차 계약으로 미국 공급이 수월해질 것으로 기대하고 있음"
202504,코발트,"25.3월, 산화코발트(이차전지용) 수입량은 185톤으로 전년 동기 대비 43.6% 감소, 수입액은 U$4,325천으로 전년 동기 대비 43.1% 감소함. 같은 기간 코발트매트 등 수입량은 146톤으로 전년 동기 대비 87.3% 감소, 수입액은 U$924천으로 전년 동기 대비 84.2% 감소세를 나타냄"
202504,코발트,25.3월 평균가격 : U$17.75/lb(전월 대비 26.79% 상승)
202504,망간,"중국 1~2월 망간 수출 감소 ‐미국 관세 정책으로 인한 글로벌 경제 불확실성 확대 및 중국 광석 가격 상승으로 2025년 1~2월 중국 망간 수출이 50,261톤(미가공 43,167톤, 가공 7,094톤)을 기록하였으며 전년 동기 74,403톤(미가공 67,174톤, 가공 7,229톤) 대비 32.4% 감소함. 2025년 1월 수출은 29,754톤(미가공 23,851톤, 가공 5,903톤, 2월 수출은 20,507톤(미가공 19,316톤, 가공 1,191톤)임"
202504,망간,"인도 Moil, 2025년 4월 망간 광석 가격 인상 ‐동사는 망간 광석 공급 부족 및 수입 광석 가격 상승으로 4월 선적분 가격을 인상함. 품위 44% 이상인 페로망간용 광석 가격은 전월 대비 3%, 품위 44% 미만인 광석 및 품위 20%, 25%, 30%인 실리코망간용 광석 가격은 전월 대비 0.5% 소폭 인상함"
